iter	MultiClass
0	1.073703175
1	1.052319879
2	1.035421794
3	1.021400966
4	1.009234621
5	0.9994721198
6	0.99057442
7	0.9832293833
8	0.9767863347
9	0.9704183755
10	0.9644450779
11	0.9578541269
12	0.9541069713
13	0.9494440717
14	0.9460093671
15	0.9411454993
16	0.9380498089
17	0.935216598
18	0.9303607162
19	0.9275883754
20	0.925163756
21	0.9231350034
22	0.9206430971
23	0.9168695659
24	0.915224601
25	0.9135541068
26	0.9114029987
27	0.9085620456
28	0.9062220461
29	0.9049265287
30	0.9009974173
31	0.8996244644
32	0.8965090027
33	0.8939414549
34	0.8918435141
35	0.8907402477
36	0.8895724217
37	0.8877121989
38	0.8862328358
39	0.883070645
40	0.8817499695
41	0.8808359157
42	0.8789715876
43	0.878192069
44	0.8768150808
45	0.8737877111
46	0.8727747334
47	0.8717639137
48	0.8704359751
49	0.8661788251
50	0.8648061817
51	0.8640188593
52	0.8624977453
53	0.8609403403
54	0.8585105582
55	0.8569746388
56	0.8556862332
57	0.8546003833
58	0.8524264408
59	0.8507702748
60	0.8496495472
61	0.8463357766
62	0.8443463515
63	0.8432599047
64	0.8427956551
65	0.8413647072
66	0.8401710575
67	0.8374532473
68	0.8369912154
69	0.8365373512
70	0.8346551247
71	0.8335044154
72	0.831870147
73	0.8309429744
74	0.8298628573
75	0.8270128085
76	0.8264308067
77	0.8233681183
78	0.8229153878
79	0.8215349499
80	0.8210553337
81	0.8205153046
82	0.8195497505
83	0.8190303556
84	0.8184412037
85	0.8179037026
86	0.8170268663
87	0.8154422569
88	0.8150579074
89	0.8145828671
90	0.8138353383
91	0.8112202293
92	0.8104445061
93	0.8100377541
94	0.8090343421
95	0.8086129887
96	0.8078596033
97	0.8072775015
98	0.8067407798
99	0.8060080133
100	0.8042701747
101	0.8039010044
102	0.803428118
103	0.8026301062
104	0.8021527793
105	0.8017194178
106	0.8010499109
107	0.7994641482
108	0.7991440754
109	0.7966031909
110	0.7954983529
111	0.7939144047
112	0.7931818129
113	0.7915950246
114	0.7897592527
115	0.7893695605
116	0.7888818573
117	0.7884463421
118	0.7869556179
119	0.7866737487
120	0.7863125514
121	0.7855283907
122	0.7849926242
123	0.7832142499
124	0.7821710897
125	0.7812896866
126	0.7800852381
127	0.7792862761
128	0.7781001591
129	0.777194754
130	0.776558561
131	0.7758532761
132	0.7741003356
133	0.7721203555
134	0.7717344569
135	0.7711201419
136	0.7707190019
137	0.770367805
138	0.7690747456
139	0.7680109156
140	0.767701904
141	0.7670403021
142	0.7665063975
143	0.7658495302
144	0.7652105352
145	0.7648248753
146	0.763749299
147	0.7632050055
148	0.7614320647
149	0.7607717184
150	0.7602996103
151	0.7596604283
152	0.759065116
153	0.7585212118
154	0.7572236791
155	0.7566653112
156	0.7558899004
157	0.7553313047
158	0.7547053865
159	0.7541726602
160	0.7532753388
161	0.7526837219
162	0.7520638975
163	0.751447905
164	0.7506670495
165	0.7502462954
166	0.7494799666
167	0.7491827934
168	0.7484693776
169	0.7472137942
170	0.7469610215
171	0.7459690439
172	0.7450380609
173	0.7446949911
174	0.7444019906
175	0.7440864482
176	0.7425329717
177	0.7419160624
178	0.740889498
179	0.7403527019
180	0.7398890849
181	0.739444637
182	0.738181729
183	0.7378018231
184	0.7371820749
185	0.7369664848
186	0.7361311507
187	0.7352349146
188	0.7341936045
189	0.7334415591
190	0.7329940858
191	0.732546447
192	0.7320079194
193	0.7311361708
194	0.7308344461
195	0.7305820222
196	0.7299427702
197	0.729384575
198	0.7290499487
199	0.7286428748
