iter	Passed	Remaining
0	192	38288
1	348	34518
2	500	32889
3	657	32207
4	790	30842
5	942	30459
6	1077	29713
7	1251	30046
8	1370	29075
9	1531	29096
10	1664	28598
11	1825	28592
12	1950	28054
13	2080	27644
14	2224	27437
15	2356	27097
16	2483	26738
17	2636	26662
18	2782	26504
19	2920	26283
20	3068	26154
21	3211	25987
22	3358	25844
23	3484	25549
24	3625	25379
25	3760	25168
26	3911	25061
27	4040	24822
28	4170	24593
29	4320	24481
30	4475	24398
31	4597	24134
32	4742	23999
33	4882	23837
34	5005	23599
35	5125	23347
36	5253	23142
37	5380	22937
38	5505	22727
39	5659	22638
40	5795	22473
41	5920	22273
42	6063	22138
43	6201	21987
44	6348	21866
45	6482	21701
46	6628	21579
47	6774	21453
48	6930	21356
49	7077	21233
50	7214	21078
51	7349	20917
52	7466	20707
53	7596	20538
54	7747	20424
55	7894	20299
56	8049	20195
57	8199	20074
58	8338	19928
59	8481	19789
60	8599	19595
61	8719	19408
62	8859	19266
63	9002	19130
64	9136	18974
65	9279	18840
66	9400	18659
67	9557	18552
68	9736	18484
69	9877	18343
70	10025	18215
71	10179	18096
72	10320	17955
73	10463	17815
74	10592	17653
75	10746	17534
76	10861	17349
77	10988	17187
78	11117	17028
79	11231	16847
80	11390	16734
81	11528	16589
82	11670	16451
83	11802	16298
84	11964	16186
85	12121	16068
86	12327	16011
87	12517	15931
88	12659	15788
89	12791	15634
90	12947	15509
91	13100	15379
92	13255	15251
93	13412	15124
94	13557	14984
95	13691	14832
96	13844	14700
97	13983	14553
98	14126	14411
99	14277	14277
100	14423	14137
101	14538	13968
102	14685	13830
103	14815	13675
104	14932	13509
105	15063	13357
106	15206	13217
107	15361	13085
108	15500	12940
109	15643	12799
110	15786	12657
111	15927	12514
112	16084	12383
113	16206	12225
114	16343	12080
115	16488	11939
116	16639	11803
117	16776	11658
118	16911	11511
119	17061	11374
120	17183	11218
121	17316	11071
122	17466	10934
123	17615	10796
124	17738	10643
125	17874	10497
126	18003	10348
127	18139	10203
128	18259	10050
129	18384	9899
130	18515	9752
131	18656	9610
132	18809	9475
133	18957	9337
134	19102	9197
135	19219	9044
136	19362	8903
137	19718	8859
138	19868	8719
139	20000	8571
140	20147	8430
141	20295	8289
142	20458	8154
143	20608	8014
144	20751	7871
145	20911	7734
146	21081	7600
147	21220	7455
148	21382	7318
149	21512	7170
150	21654	7026
151	21816	6889
152	21945	6741
153	22079	6595
154	22218	6450
155	22371	6310
156	22521	6168
157	22656	6022
158	22790	5876
159	22899	5724
160	23040	5581
161	23168	5434
162	23286	5285
163	23409	5138
164	23546	4994
165	23666	4847
166	23793	4701
167	23938	4559
168	24076	4416
169	24198	4270
170	24323	4125
171	24466	3982
172	24589	3837
173	24729	3695
174	24878	3554
175	25023	3412
176	25164	3270
177	25327	3130
178	25477	2989
179	25613	2845
180	25745	2702
181	25887	2560
182	26036	2418
183	26173	2275
184	26335	2135
185	26501	1994
186	26646	1852
187	26810	1711
188	26956	1568
189	27076	1425
190	27217	1282
191	27362	1140
192	27502	997
193	27654	855
194	27799	712
195	27956	570
196	28106	428
197	28236	285
198	28392	142
199	28529	0
